eventid,venueid,catid,dateid,eventname,starttime
1,305,8,1851,Gotterdammerung,1/25/08 14:30
2,306,8,2114,Boris Godunov,10/15/08 20:00
3,302,8,1935,Salome,4/19/08 14:30
4,309,8,2090,La Cenerentola (Cinderella),9/21/08 14:30
5,302,8,1982,Il Trovatore,6/5/08 19:00
6,308,8,2109,L Elisir d Amore,10/10/08 19:30
7,309,8,1891,Doctor Atomic,3/6/08 14:00
8,302,8,1832,The Magic Flute,1/6/08 20:00
9,308,8,2087,The Fly,9/18/08 19:30
10,305,8,2079,Rigoletto,9/10/08 15:00
11,302,8,1952,Doctor Atomic,5/1/08 19:30
12,303,8,2111,Ring Cycle,10/12/08 15:00
13,301,8,2154,Lucia di Lammermoor,11/24/08 15:00
14,303,8,2149,La Rondine,11/19/08 19:30
15,307,8,2038,Die Walkure,7/31/08 19:30
16,304,8,1987,La Gioconda,6/10/08 14:00
17,301,8,1834,La Gioconda,1/8/08 19:00
18,306,8,2152,Gotterdammerung,11/22/08 19:00
19,302,8,2088,Boris Godunov,9/19/08 14:30
20,303,8,2051,Boris Godunov,8/13/08 19:30
21,306,8,2176,Adriana Lecouvreur,12/16/08 20:00
22,306,8,2172,La Rondine,12/12/08 14:30
23,305,8,2037,Rusalka,7/30/08 20:00
24,301,8,1900,Gotterdammerung,3/15/08 14:30
25,300,8,1859,La Cenerentola (Cinderella),2/2/08 20:00
26,307,8,2031,Il Trovatore,7/24/08 19:30
27,304,8,2148,Gotterdammerung,11/18/08 19:30
28,300,8,2125,Siegfried,10/26/08 20:00
29,301,8,2014,Adriana Lecouvreur,7/7/08 14:30
30,302,8,1917,Don Giovanni,4/1/08 15:00
31,303,8,1861,Doctor Atomic,2/4/08 15:00
32,308,8,2165,Ring Cycle,12/5/08 19:00
33,301,8,1923,Siegfried,4/7/08 14:30
34,301,8,2118,Ring Cycle,10/19/08 20:00
35,309,8,2149,Salome,11/19/08 19:00
36,304,8,2058,The Magic Flute,8/20/08 20:00
37,308,8,1989,Il Trovatore,6/12/08 14:00
38,303,8,2111,Il Trovatore,10/12/08 15:00
39,306,8,2053,La Rondine,8/15/08 14:00
40,309,8,2109,L Elisir d Amore,10/10/08 14:30
41,306,8,2126,La Cenerentola (Cinderella),10/27/08 15:00
42,305,8,1888,La Traviata,3/3/08 15:00
43,307,8,1924,Il Trovatore,4/8/08 14:30
44,308,8,1950,Lucia di Lammermoor,5/1/08 20:00
45,302,8,2031,La Sonnambula,7/24/08 20:00
46,304,8,1896,Madama Butterfly,3/11/08 14:00
47,307,8,1968,La Rondine,5/1/08 19:30
48,309,8,1861,La Gioconda,2/4/08 19:30
49,303,8,1899,Simon Boccanegra,3/14/08 14:00
50,305,8,1830,Simon Boccanegra,1/4/08 20:00
51,300,8,1867,Tristan und Isolde,2/10/08 14:00
52,307,8,2161,Madama Butterfly,12/1/08 19:00
53,308,8,1977,Orfeo ed Euridice,5/1/08 14:30
54,300,8,1831,La Cenerentola (Cinderella),1/5/08 15:00
55,301,8,2102,La Traviata,10/3/08 15:00
56,306,8,1837,L Elisir d Amore,1/11/08 19:00
57,305,8,2084,The Magic Flute,9/15/08 14:30
58,303,8,1938,La Traviata,4/22/08 14:30
59,301,8,1843,Tristan und Isolde,1/17/08 15:00
60,300,8,2090,Il Trovatore,9/21/08 20:00
61,303,8,1901,L Elisir d Amore,3/16/08 14:00
62,307,8,2068,Adriana Lecouvreur,8/30/08 19:30
63,301,8,2027,The Fly,7/20/08 19:00
64,309,8,1880,Rusalka,2/23/08 19:30
65,307,8,1873,Madama Butterfly,2/16/08 15:00
66,303,8,2027,La Damnation de Faust,7/20/08 15:00
